GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JavaPoet,com.squareup.javapoet,ClassName,3,475,4,40,0,71,4,38,0,20
JavaPoet,com.squareup.javapoet,NameAllocator,0,178,0,18,0,34,0,16,0,7
JavaPoet,com.squareup.javapoet,FieldSpec.Builder,38,82,3,3,7,20,4,9,2,8
JavaPoet,com.squareup.javapoet,CodeWriter,4,1081,5,137,0,229,5,101,0,31
JavaPoet,com.squareup.javapoet,MethodSpec.Builder,99,290,15,13,16,65,11,34,0,31
JavaPoet,com.squareup.javapoet,WildcardTypeName,46,197,5,17,7,29,10,14,5,8
JavaPoet,com.squareup.javapoet,CodeBlock,30,65,3,3,6,15,4,7,1,7
JavaPoet,com.squareup.javapoet,TypeSpec.Kind,0,166,0,0,0,27,0,2,0,2
JavaPoet,com.squareup.javapoet,CodeBlock.Builder,1,570,1,70,0,97,1,51,0,15
JavaPoet,com.squareup.javapoet,Util,6,292,6,41,1,60,5,36,0,14
JavaPoet,com.squareup.javapoet,AnnotationSpec,27,474,3,39,4,85,3,30,0,12
JavaPoet,com.squareup.javapoet,AnnotationSpec.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
JavaPoet,com.squareup.javapoet,AnnotationSpec.Builder,0,155,0,12,0,25,0,11,0,5
JavaPoet,com.squareup.javapoet,ParameterSpec,23,165,3,5,4,30,5,9,2,8
JavaPoet,com.squareup.javapoet,TypeSpec.Builder,13,823,9,73,1,120,10,59,1,27
JavaPoet,com.squareup.javapoet,TypeSpec,16,910,7,85,3,167,8,54,1,15
JavaPoet,com.squareup.javapoet,TypeVariableName,24,232,2,14,3,46,5,17,3,11
JavaPoet,com.squareup.javapoet,ParameterizedTypeName,16,152,3,9,2,26,5,10,2,7
JavaPoet,com.squareup.javapoet,TypeName.new SimpleTypeVisitor7() {...},10,101,2,13,2,22,2,17,0,8
JavaPoet,com.squareup.javapoet,JavaFile.Builder,4,134,4,6,0,23,4,9,0,8
JavaPoet,com.squareup.javapoet,AnnotationSpec.Visitor,0,75,0,2,0,11,0,7,0,6
JavaPoet,com.squareup.javapoet,JavaFile.new Appendable() {...},2,7,0,0,1,3,1,3,1,3
JavaPoet,com.squareup.javapoet,TypeName,93,478,31,59,10,98,28,41,1,23
JavaPoet,com.squareup.javapoet,ParameterSpec.Builder,29,51,3,1,5,14,3,6,1,6
JavaPoet,com.squareup.javapoet,FieldSpec,51,170,5,7,8,34,5,10,1,8
JavaPoet,com.squareup.javapoet,JavaFile.new SimpleJavaFileObject() {...},3,23,0,0,1,4,1,3,1,3
JavaPoet,com.squareup.javapoet,MethodSpec,81,639,9,55,14,122,10,36,1,13
JavaPoet,com.squareup.javapoet,ArrayTypeName,18,62,0,0,3,11,3,8,3,8
JavaPoet,com.squareup.javapoet,JavaFile,66,388,7,27,17,66,7,23,3,10
